# UVIS G280 Simulation, broadband = 200.0-800.0nm, spectroscopic in 20.0nm bins
# Credit: H.R. Wakeford, Citation: Wakeford et al. (2020, AJ)
# H23_ETC_237s with an exposure time of 237 and 1 orbits in transit/eclipse for 4 transits/eclipses
# Wavelength (nm), bin size (nm), transit/eclipse precision (ppm), program precision (ppm)
       500, 300.00000,  69.16106,  34.58053
       210,  10.34483,1345.06833, 672.53416
       231,  10.34483, 903.01451, 451.50726
       252,  10.34483, 798.94889, 399.47445
       272,  10.34483, 589.98354, 294.99177
       293,  10.34483, 414.08950, 207.04475
       314,  10.34483, 358.43031, 179.21515
       334,  10.34483, 339.97719, 169.98859
       355,  10.34483, 358.30512, 179.15256
       376,  10.34483, 345.80470, 172.90235
       397,  10.34483, 311.59014, 155.79507
       417,  10.34483, 278.29674, 139.14837
       438,  10.34483, 287.05344, 143.52672
       459,  10.34483, 280.37583, 140.18791
       479,  10.34483, 276.77193, 138.38596
       500,  10.34483, 288.38953, 144.19477
       521,  10.34483, 305.71763, 152.85882
       541,  10.34483, 321.82353, 160.91176
       562,  10.34483, 319.54052, 159.77026
       583,  10.34483, 330.53725, 165.26862
       603,  10.34483, 346.15507, 173.07753
       624,  10.34483, 364.53550, 182.26775
       645,  10.34483, 395.15167, 197.57584
       666,  10.34483, 403.20057, 201.60028
       686,  10.34483, 423.65123, 211.82562
       707,  10.34483, 452.03310, 226.01655
       728,  10.34483, 502.66046, 251.33023
       748,  10.34483, 523.00855, 261.50427
       769,  10.34483, 574.34095, 287.17047
       790,  10.34483, 640.17391, 320.08695
