# UVIS G280 Simulation, broadband = 200.0-800.0nm, spectroscopic in 30.0nm bins
# Credit: H.R. Wakeford, Citation: Wakeford et al. (2020, AJ)
# H23_ETC with an exposure time of 237 and 1 orbits in transit/eclipse for 4 transits/eclipses
# Wavelength (nm), bin size (nm), transit/eclipse precision (ppm), program precision (ppm)
       500, 300.00000,  77.24300,  38.62150
       216,  15.78947, 965.20515, 482.60257
       247,  15.78947, 788.40379, 394.20189
       279,  15.78947, 460.42917, 230.21458
       311,  15.78947, 334.16048, 167.08024
       342,  15.78947, 305.57715, 152.78858
       374,  15.78947, 313.47423, 156.73712
       405,  15.78947, 268.76642, 134.38321
       437,  15.78947, 256.10155, 128.05078
       468,  15.78947, 250.88633, 125.44317
       500,  15.78947, 261.56715, 130.78358
       532,  15.78947, 285.38808, 142.69404
       563,  15.78947, 288.48288, 144.24144
       595,  15.78947, 312.66049, 156.33025
       626,  15.78947, 329.76193, 164.88097
       658,  15.78947, 356.86735, 178.43367
       689,  15.78947, 394.68788, 197.34394
       721,  15.78947, 427.94011, 213.97006
       753,  15.78947, 492.00231, 246.00116
       784,  15.78947, 560.22189, 280.11095
