# version = 29.1.1, Request ID = WFC3UVIS.sp.1486051
# HAT-P-41, Vmag = 11.4, exptime = 190s, Teff = 6500K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
3026.0000,45,2.5745,97.077,84329,84429
3040.0000,45,2.5745,97.077,85620,85720
3054.0000,45,2.5745,97.077,87040,87140
3068.0000,45,2.5745,97.077,87348,87447
3082.0000,45,2.5745,97.077,88880,88979
3096.0000,45,2.5745,97.077,89840,89940
3110.0000,45,2.5745,97.077,89040,89140
3124.0000,45,2.5745,97.077,87640,87739
3138.0000,45,2.5745,97.077,86207,86306
3152.0000,45,2.5745,97.077,85439,85539
3166.0000,45,2.5745,97.077,86731,86831
3180.0000,45,2.5745,97.077,82662,82762
3194.0000,45,2.5745,97.077,79633,79732
3208.0000,45,2.5745,97.077,83349,83448
3222.0000,45,2.5745,97.077,77292,77391
3236.0000,45,2.5745,97.077,76295,76394
3250.0000,45,2.5745,97.077,84985,85085
3264.0000,45,2.5745,97.077,90978,91078
3278.0000,45,2.5745,97.077,92008,92108
3292.0000,45,2.5745,97.077,90250,90350
3306.0000,45,2.5745,97.077,90838,90937
3320.0000,45,2.5745,97.077,90729,90829
3334.0000,45,2.5745,97.077,89910,90010
3348.0000,45,2.5745,97.077,88550,88649
3362.0000,45,2.5745,97.077,83484,83583
3376.0000,45,2.5745,97.077,81942,82042
3390.0000,45,2.5745,97.077,85838,85937
3404.0000,45,2.5745,97.077,86440,86540
3418.0000,45,2.5745,97.077,86234,86334
3432.0000,45,2.5745,97.077,86412,86511
3446.0000,45,2.5745,97.077,87403,87503
3460.0000,45,2.5745,97.077,86904,87003
3474.0000,45,2.5745,97.077,86246,86345
3488.0000,45,2.5745,97.077,86927,87027
3502.0000,45,2.5745,97.077,87815,87914
3516.0000,45,2.5745,97.077,86414,86514
3530.0000,45,2.5745,97.077,83570,83670
3544.0000,45,2.5745,97.077,87483,87583
3558.0000,45,2.5745,97.077,83952,84051
3572.0000,45,2.5745,97.077,75812,75912
3586.0000,45,2.5745,97.077,73613,73713
3600.0000,45,2.5745,97.077,73560,73660
3614.0000,45,2.5745,97.077,74302,74401
3628.0000,45,2.5745,97.077,74110,74210
3642.0000,45,2.5745,97.077,75585,75684
3656.0000,45,2.5745,97.077,80280,80380
3670.0000,45,2.5745,97.077,78791,78890
3684.0000,45,2.5745,97.077,76670,76770
3698.0000,45,2.5745,97.077,76936,77035
3712.0000,45,2.5745,97.077,78511,78611
3726.0000,45,2.5745,97.077,76070,76170
3740.0000,45,2.5745,97.077,79988,80088
3754.0000,45,2.5745,97.077,86757,86856
3768.0000,45,2.5745,97.077,92867,92967
3782.0000,45,2.5745,97.077,99692,99792
3796.0000,45,2.5745,97.077,1.0672e+05,1.0682e+05
3810.0000,45,2.5745,97.077,1.1075e+05,1.1085e+05
3824.0000,45,2.5745,97.077,96261,96360
3838.0000,45,2.5745,97.077,99684,99784
3852.0000,45,2.5745,97.077,1.1608e+05,1.1618e+05
3866.0000,45,2.5745,97.077,1.2084e+05,1.2094e+05
3880.0000,45,2.5745,97.077,1.127e+05,1.128e+05
3894.0000,45,2.5745,97.077,1.0802e+05,1.0812e+05
3908.0000,45,2.5745,97.077,1.1964e+05,1.1974e+05
3922.0000,45,2.5745,97.077,95148,95247
3936.0000,45,2.5745,97.077,87263,87362
3950.0000,45,2.5745,97.077,1.0778e+05,1.0788e+05
3964.0000,45,2.5745,97.077,88167,88266
3978.0000,45,2.5745,97.077,99543,99643
3992.0000,45,2.5745,97.077,1.3229e+05,1.3239e+05
4006.0000,45,2.5745,97.077,1.3975e+05,1.3985e+05
4020.0000,45,2.5745,97.077,1.4096e+05,1.4106e+05
4034.0000,45,2.5745,97.077,1.3992e+05,1.4002e+05
4048.0000,45,2.5745,97.077,1.3757e+05,1.3767e+05
4062.0000,45,2.5745,97.077,1.3582e+05,1.3592e+05
4076.0000,45,2.5745,97.077,1.3479e+05,1.3489e+05
4090.0000,45,2.5745,97.077,1.3335e+05,1.3345e+05
4104.0000,45,2.5745,97.077,1.2409e+05,1.2419e+05
4118.0000,45,2.5745,97.077,1.276e+05,1.2769e+05
4132.0000,45,2.5745,97.077,1.3927e+05,1.3937e+05
4146.0000,45,2.5745,97.077,1.4311e+05,1.4321e+05
4160.0000,45,2.5745,97.077,1.4322e+05,1.4332e+05
4174.0000,45,2.5745,97.077,1.4181e+05,1.4191e+05
4188.0000,45,2.5745,97.077,1.4053e+05,1.4063e+05
4202.0000,45,2.5745,97.077,1.4e+05,1.401e+05
4216.0000,45,2.5745,97.077,1.3798e+05,1.3808e+05
4230.0000,45,2.5745,97.077,1.3484e+05,1.3494e+05
4244.0000,45,2.5745,97.077,1.3624e+05,1.3634e+05
4258.0000,45,2.5745,97.077,1.3513e+05,1.3523e+05
4272.0000,45,2.5745,97.077,1.312e+05,1.3129e+05
4286.0000,45,2.5745,97.077,1.2617e+05,1.2627e+05
4300.0000,45,2.5745,97.077,1.1829e+05,1.1839e+05
4314.0000,45,2.5745,97.077,1.1446e+05,1.1456e+05
