# UVIS G280 Simulation, broadband = 200.0-800.0nm, spectroscopic in 20.0nm bins
# Credit: H.R. Wakeford, Citation: Wakeford et al. (2020, AJ)
# H23_ETC with an exposure time of 237 and 1 orbits in transit/eclipse for 3 transits/eclipses
# Wavelength (nm), bin size (nm), transit/eclipse precision (ppm), program precision (ppm)
       500, 300.00000,  77.24300,  44.59627
       210,  10.34483,1502.25035, 867.32464
       231,  10.34483,1008.53504, 582.27798
       252,  10.34483, 892.30958, 515.17517
       272,  10.34483, 658.92483, 380.43043
       293,  10.34483, 462.47948, 267.01265
       314,  10.34483, 400.31589, 231.12249
       334,  10.34483, 379.70562, 219.22314
       355,  10.34483, 400.17515, 231.04123
       376,  10.34483, 386.21498, 222.98132
       397,  10.34483, 348.00159, 200.91881
       417,  10.34483, 310.81767, 179.45066
       438,  10.34483, 320.59731, 185.09694
       459,  10.34483, 313.13962, 180.79125
       479,  10.34483, 309.11451, 178.46734
       500,  10.34483, 322.09001, 185.95875
       521,  10.34483, 341.44273, 197.13205
       541,  10.34483, 359.43120, 207.51770
       562,  10.34483, 356.88166, 206.04572
       583,  10.34483, 369.16282, 213.13625
       603,  10.34483, 386.60558, 223.20683
       624,  10.34483, 407.13393, 235.05888
       645,  10.34483, 441.32801, 254.80085
       666,  10.34483, 450.31798, 259.99121
       686,  10.34483, 473.15687, 273.17725
       707,  10.34483, 504.85416, 291.47768
       728,  10.34483, 561.40099, 324.12501
       748,  10.34483, 584.12451, 337.24444
       769,  10.34483, 641.45543, 370.34446
       790,  10.34483, 714.98097, 412.79446
