# version = 29.1.1, Request ID = WFC3UVIS.sp.1486058
# HAT-P-23, Vmag = 11.94, exptime = 237s, Teff = 6000K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
3656.0000,45,3.2113,121.09,57759,57884
3670.0000,45,3.2113,121.09,57654,57778
3684.0000,45,3.2113,121.09,55935,56059
3698.0000,45,3.2113,121.09,55779,55904
3712.0000,45,3.2113,121.09,55460,55584
3726.0000,45,3.2113,121.09,48336,48460
3740.0000,45,3.2113,121.09,48455,48579
3754.0000,45,3.2113,121.09,52946,53070
3768.0000,45,3.2113,121.09,58717,58841
3782.0000,45,3.2113,121.09,62068,62192
3796.0000,45,3.2113,121.09,63963,64087
3810.0000,45,3.2113,121.09,62870,62994
3824.0000,45,3.2113,121.09,49524,49648
3838.0000,45,3.2113,121.09,49042,49166
3852.0000,45,3.2113,121.09,57746,57871
3866.0000,45,3.2113,121.09,58480,58605
3880.0000,45,3.2113,121.09,59747,59872
3894.0000,45,3.2113,121.09,63263,63387
3908.0000,45,3.2113,121.09,68445,68569
3922.0000,45,3.2113,121.09,51883,52008
3936.0000,45,3.2113,121.09,46617,46742
3950.0000,45,3.2113,121.09,60156,60280
3964.0000,45,3.2113,121.09,50176,50300
3978.0000,45,3.2113,121.09,59744,59868
3992.0000,45,3.2113,121.09,82151,82275
4006.0000,45,3.2113,121.09,87152,87276
4020.0000,45,3.2113,121.09,87836,87960
4034.0000,45,3.2113,121.09,86811,86936
4048.0000,45,3.2113,121.09,84623,84748
4062.0000,45,3.2113,121.09,82905,83030
4076.0000,45,3.2113,121.09,84321,84446
4090.0000,45,3.2113,121.09,88600,88724
4104.0000,45,3.2113,121.09,86020,86145
4118.0000,45,3.2113,121.09,86398,86522
4132.0000,45,3.2113,121.09,89139,89263
4146.0000,45,3.2113,121.09,89963,90087
4160.0000,45,3.2113,121.09,90323,90448
4174.0000,45,3.2113,121.09,89559,89684
4188.0000,45,3.2113,121.09,87080,87205
4202.0000,45,3.2113,121.09,86910,87034
4216.0000,45,3.2113,121.09,85761,85885
4230.0000,45,3.2113,121.09,83196,83320
4244.0000,45,3.2113,121.09,83663,83787
4258.0000,45,3.2113,121.09,82048,82172
4272.0000,45,3.2113,121.09,78190,78314
4286.0000,45,3.2113,121.09,73428,73552
4300.0000,45,3.2113,121.09,66392,66517
4314.0000,45,3.2113,121.09,65547,65671
4328.0000,45,3.2113,121.09,79115,79239
4342.0000,45,3.2113,121.09,79443,79567
4356.0000,45,3.2113,121.09,80270,80394
4370.0000,45,3.2113,121.09,85378,85502
4384.0000,45,3.2113,121.09,81735,81859
4398.0000,45,3.2113,121.09,81296,81420
4412.0000,45,3.2113,121.09,84199,84323
4426.0000,45,3.2113,121.09,86523,86648
4440.0000,45,3.2113,121.09,86527,86651
4454.0000,45,3.2113,121.09,86454,86579
4468.0000,45,3.2113,121.09,88421,88546
4482.0000,45,3.2113,121.09,88869,88993
4496.0000,45,3.2113,121.09,90925,91049
4510.0000,45,3.2113,121.09,94433,94558
4524.0000,45,3.2113,121.09,90012,90136
4538.0000,45,3.2113,121.09,88324,88448
4552.0000,45,3.2113,121.09,90149,90273
4566.0000,45,3.2113,121.09,93232,93356
4580.0000,0,3.2113,121.09,91783,91907
4594.0000,0,3.2113,121.09,89661,89786
4608.0000,0,3.2113,121.09,90653,90777
4622.0000,0,3.2113,121.09,90153,90277
4636.0000,0,3.2113,121.09,89756,89881
4650.0000,0,3.2113,121.09,90294,90418
4664.0000,0,3.2113,121.09,91470,91594
4678.0000,0,3.2113,121.09,91248,91373
4692.0000,0,3.2113,121.09,89583,89707
4706.0000,0,3.2113,121.09,87201,87326
4720.0000,0,3.2113,121.09,88267,88391
4734.0000,0,3.2113,121.09,90294,90419
4748.0000,0,3.2113,121.09,90931,91056
4762.0000,0,3.2113,121.09,90939,91064
4776.0000,0,3.2113,121.09,90630,90754
4790.0000,0,3.2113,121.09,90098,90222
4804.0000,0,3.2113,121.09,89301,89425
4818.0000,0,3.2113,121.09,89182,89307
4832.0000,0,3.2113,121.09,88563,88687
4846.0000,0,3.2113,121.09,84310,84434
4860.0000,0,3.2113,121.09,78046,78171
4874.0000,0,3.2113,121.09,75596,75720
4888.0000,0,3.2113,121.09,82496,82620
4902.0000,0,3.2113,121.09,83929,84054
4916.0000,0,3.2113,121.09,83060,83184
4930.0000,0,3.2113,121.09,81919,82043
4944.0000,0,3.2113,121.09,83092,83217
4958.0000,0,3.2113,121.09,83846,83970
4972.0000,0,3.2113,121.09,83115,83239
4986.0000,0,3.2113,121.09,79348,79472
5000.0000,0,3.2113,121.09,76439,76563
5014.0000,0,3.2113,121.09,75688,75812
5028.0000,0,3.2113,121.09,78034,78158
5042.0000,0,3.2113,121.09,78369,78494
5056.0000,0,3.2113,121.09,78950,79075
5070.0000,0,3.2113,121.09,80153,80278
5084.0000,0,3.2113,121.09,78515,78639
5098.0000,0,3.2113,121.09,77921,78045
5112.0000,0,3.2113,121.09,77902,78027
5126.0000,0,3.2113,121.09,76351,76475
5140.0000,0,3.2113,121.09,74464,74589
5154.0000,0,3.2113,121.09,71635,71760
5168.0000,0,3.2113,121.09,67391,67515
5182.0000,0,3.2113,121.09,66369,66494
5196.0000,0,3.2113,121.09,67791,67915
5210.0000,0,3.2113,121.09,70901,71026
5224.0000,0,3.2113,121.09,71672,71796
5238.0000,0,3.2113,121.09,72447,72572
5252.0000,0,3.2113,121.09,72146,72271
5266.0000,0,3.2113,121.09,67232,67357
5280.0000,0,3.2113,121.09,68662,68786
5294.0000,0,3.2113,121.09,72096,72220
5308.0000,0,3.2113,121.09,72880,73004
5322.0000,0,3.2113,121.09,69530,69654
5336.0000,0,3.2113,121.09,68210,68334
5350.0000,0,3.2113,121.09,70645,70769
5364.0000,0,3.2113,121.09,70727,70851
5378.0000,0,3.2113,121.09,70229,70353
5392.0000,0,3.2113,121.09,69360,69484
5406.0000,0,3.2113,121.09,67744,67868
5420.0000,0,3.2113,121.09,67952,68076
5434.0000,0,3.2113,121.09,68940,69064
5448.0000,0,3.2113,121.09,69621,69745
5462.0000,0,3.2113,121.09,68979,69103
5476.0000,0,3.2113,121.09,68205,68329
5490.0000,0,3.2113,121.09,67783,67907
5504.0000,0,3.2113,121.09,67602,67726
5518.0000,0,3.2113,121.09,67535,67660
5532.0000,0,3.2113,121.09,67591,67716
5546.0000,0,3.2113,121.09,67836,67960
5560.0000,0,3.2113,121.09,66912,67036
5574.0000,0,3.2113,121.09,65567,65692
5588.0000,0,3.2113,121.09,64652,64776
5602.0000,0,3.2113,121.09,65136,65260
5616.0000,0,3.2113,121.09,65635,65760
5630.0000,0,3.2113,121.09,65605,65729
5644.0000,0,3.2113,121.09,65247,65372
5658.0000,0,3.2113,121.09,64384,64509
5672.0000,0,3.2113,121.09,63492,63617
5686.0000,0,3.2113,121.09,63667,63791
5700.0000,0,3.2113,121.09,63099,63223
5714.0000,0,3.2113,121.09,63015,63139
5728.0000,0,3.2113,121.09,64546,64670
5742.0000,0,3.2113,121.09,63745,63870
5756.0000,0,3.2113,121.09,62944,63069
5770.0000,0,3.2113,121.09,62847,62971
5784.0000,0,3.2113,121.09,61796,61920
5798.0000,0,3.2113,121.09,61521,61645
5812.0000,0,3.2113,121.09,61892,62017
5826.0000,0,3.2113,121.09,61998,62122
5840.0000,0,3.2113,121.09,61271,61395
5854.0000,0,3.2113,121.09,60461,60585
5868.0000,0,3.2113,121.09,60068,60192
5882.0000,0,3.2113,121.09,57848,57972
5896.0000,0,3.2113,121.09,57113,57237
5910.0000,0,3.2113,121.09,58668,58792
5924.0000,0,3.2113,121.09,58573,58697
5938.0000,0,3.2113,121.09,58299,58423
5952.0000,0,3.2113,121.09,58086,58211
5966.0000,0,3.2113,121.09,57836,57960
5980.0000,0,3.2113,121.09,57314,57438
5994.0000,0,3.2113,121.09,56651,56775
6008.0000,0,3.2113,121.09,55938,56062
6022.0000,0,3.2113,121.09,55656,55781
6036.0000,0,3.2113,121.09,55717,55841
6050.0000,0,3.2113,121.09,56017,56141
6064.0000,0,3.2113,121.09,55741,55865
6078.0000,0,3.2113,121.09,55075,55200
6092.0000,0,3.2113,121.09,54253,54378
6106.0000,0,3.2113,121.09,53661,53785
6120.0000,0,3.2113,121.09,52588,52712
6134.0000,0,3.2113,121.09,51730,51855
6148.0000,0,3.2113,121.09,51778,51902
6162.0000,0,3.2113,121.09,50880,51005
6176.0000,0,3.2113,121.09,50811,50936
6190.0000,0,3.2113,121.09,51948,52072
6204.0000,0,3.2113,121.09,51974,52098
6218.0000,0,3.2113,121.09,51324,51448
6232.0000,0,3.2113,121.09,50303,50428
6246.0000,0,3.2113,121.09,49212,49336
6260.0000,0,3.2113,121.09,49577,49701
6274.0000,0,3.2113,121.09,50267,50392
6288.0000,0,3.2113,121.09,50113,50237
6302.0000,0,3.2113,121.09,49181,49305
6316.0000,0,3.2113,121.09,48518,48642
6330.0000,0,3.2113,121.09,48413,48537
6344.0000,0,3.2113,121.09,48225,48349
6358.0000,0,3.2113,121.09,47970,48094
6372.0000,0,3.2113,121.09,47697,47821
6386.0000,0,3.2113,121.09,47598,47722
6400.0000,0,3.2113,121.09,46963,47087
6414.0000,0,3.2113,121.09,46350,46474
6428.0000,0,3.2113,121.09,46341,46466
6442.0000,0,3.2113,121.09,45881,46005
6456.0000,0,3.2113,121.09,45401,45526
6470.0000,0,3.2113,121.09,45070,45195
6484.0000,0,3.2113,121.09,44502,44626
6498.0000,0,3.2113,121.09,44397,44522
6512.0000,0,3.2113,121.09,44607,44731
6526.0000,0,3.2113,121.09,44340,44464
6540.0000,0,3.2113,121.09,43314,43438
6554.0000,0,3.2113,121.09,41290,41414
6568.0000,0,3.2113,121.09,38235,38359
6582.0000,0,3.2113,121.09,40403,40527
6596.0000,0,3.2113,121.09,42563,42688
6610.0000,0,3.2113,121.09,42732,42857
6624.0000,0,3.2113,121.09,42448,42573
6638.0000,0,3.2113,121.09,42112,42236
6652.0000,0,3.2113,121.09,41776,41901
6666.0000,0,3.2113,121.09,41268,41392
6680.0000,0,3.2113,121.09,41161,41285
