# UVIS G280 Simulation, broadband = 200.0-800.0nm, spectroscopic in 20.0nm bins
# Credit: H.R. Wakeford, Citation: Wakeford et al. (2020, AJ)
# H41_ETC_default with an exposure time of 190 and 2 orbits in transit/eclipse for 2 transits/eclipses
# Wavelength (nm), bin size (nm), transit/eclipse precision (ppm), program precision (ppm)
       500, 300.00000,  37.94149,  26.82869
       210,  10.34483, 426.43276, 301.53350
       231,  10.34483, 333.53214, 235.84284
       252,  10.34483, 318.28846, 225.06393
       272,  10.34483, 278.27015, 196.76671
       293,  10.34483, 204.63804, 144.70095
       314,  10.34483, 184.80731, 130.67850
       334,  10.34483, 181.76404, 128.52659
       355,  10.34483, 195.60994, 138.31711
       376,  10.34483, 179.05939, 126.61411
       397,  10.34483, 156.93260, 110.96811
       417,  10.34483, 145.87635, 103.15016
       438,  10.34483, 151.89873, 107.40862
       459,  10.34483, 155.05952, 109.64364
       479,  10.34483, 155.88348, 110.22626
       500,  10.34483, 162.46616, 114.88092
       521,  10.34483, 172.64333, 122.07727
       541,  10.34483, 184.64320, 130.56246
       562,  10.34483, 184.85313, 130.71090
       583,  10.34483, 192.80584, 136.33432
       603,  10.34483, 203.33215, 143.77754
       624,  10.34483, 214.92311, 151.97359
       645,  10.34483, 234.52655, 165.83531
       666,  10.34483, 241.37881, 170.68060
       686,  10.34483, 253.47798, 179.23600
       707,  10.34483, 271.43987, 191.93697
       728,  10.34483, 302.76577, 214.08773
       748,  10.34483, 316.30620, 223.66226
       769,  10.34483, 348.69119, 246.56190
       790,  10.34483, 390.02942, 275.79245
