R_p_ref T log_TiO
1.257070034901109690e+00 1.540841304872195451e+03 -3.676467011531272533e+00
1.254826353698450081e+00 2.410613279085087925e+03 -6.735765378088691691e+00
1.249833358804441907e+00 1.716167731559245567e+03 -5.246742048230395028e+00
1.264336828161418014e+00 1.205394347405336021e+03 -3.725663574118705412e+00
1.264132286188345500e+00 1.101668521745585167e+03 -2.807420554383302402e+00
1.265211396349596118e+00 1.349249208429209148e+03 -5.282938405166216711e+00
1.263984036913689435e+00 1.401893107898815515e+03 -5.085522764227746073e+00
1.251552589603916577e+00 2.332920716349209215e+03 -6.077490480366170900e+00
1.263651251880300919e+00 1.092306482505221993e+03 -4.029022287255667578e+00
1.243921376750305452e+00 1.759823116457599326e+03 -3.484159792335322692e+00
1.252362261467793392e+00 2.254692442560209201e+03 -7.128520318397611355e+00
1.264931136980059989e+00 1.075120345327643918e+03 -3.468485316422706077e+00
1.256549040396345962e+00 1.245582846457101141e+03 -3.202836800215878910e+00
1.256807925959665839e+00 1.556098544170009291e+03 -5.646483999893281869e+00
1.246692585586381741e+00 1.632861644089025503e+03 -3.447624112183834910e+00
1.263859109378920653e+00 1.470529172552114687e+03 -5.620459329420333106e+00
1.247709421289221243e+00 2.657928239773715632e+03 -6.384546649444121869e+00
1.244482441542835049e+00 2.164700649833381704e+03 -4.660587375420648826e+00
1.246285911866404250e+00 1.929250972148783148e+03 -3.990039305885453302e+00
1.257710878923787190e+00 1.379060279803978574e+03 -3.003353355899728072e+00
1.235369265386657256e+00 2.623186004625265923e+03 -5.776269227291352060e+00
1.264711606298871249e+00 1.277661954437374334e+03 -5.148217214032134059e+00
1.256337076650738016e+00 2.021429112879118748e+03 -5.976222788064891489e+00
1.240460797834299633e+00 2.490580069892605025e+03 -5.212656849626003286e+00
1.246159803626532225e+00 2.526468572176891485e+03 -7.004405404273137847e+00
1.251279063276730108e+00 2.254204210445823264e+03 -5.852573153873144918e+00
1.255422826139746428e+00 1.417256239652263957e+03 -4.614248879321163344e+00
1.251408406686036034e+00 1.578444182713064038e+03 -2.715995461730443594e+00
1.246825053447590648e+00 2.196688975047835811e+03 -5.084981905528825230e+00
1.252063385867212775e+00 1.571666030484193016e+03 -3.005476905966073531e+00
1.254806780806977606e+00 2.343523091263560218e+03 -6.726630327213495519e+00
1.257869947587162862e+00 2.064608071570050015e+03 -6.520715886414907736e+00
1.235461952453549062e+00 2.794008709905652722e+03 -5.542269985807392274e+00
1.243113843436351562e+00 1.859875950332109596e+03 -3.832760180739544609e+00
1.263228112915403267e+00 1.303614579561774462e+03 -4.503822732966388465e+00
1.250777430877740404e+00 1.811419206819900410e+03 -5.616289722328258627e+00
1.248535574571994600e+00 1.593874725104994013e+03 -3.101405564912404600e+00
1.249841646263339046e+00 2.487489624681934856e+03 -6.315452753443278056e+00
1.241461712126190609e+00 2.006757353113434647e+03 -4.039288701426458239e+00
1.253710397263491094e+00 2.410697527717577486e+03 -7.404177860509084219e+00
1.260549131563474035e+00 1.413384026982021624e+03 -5.405301984775945812e+00
1.247474011875266076e+00 1.666403760869239932e+03 -3.160806512502730925e+00
1.240008864751271922e+00 2.380669346540546030e+03 -4.943037970752583554e+00
1.249310733787678318e+00 2.069275775373276247e+03 -6.246771171035708115e+00
1.241863731319512887e+00 2.388658416490309719e+03 -6.092635106511509413e+00
1.247998385044298164e+00 1.674949937098602732e+03 -4.294091762361860631e+00
1.258613414066309222e+00 1.784955814540302072e+03 -6.484610827072811112e+00
1.247077808077809991e+00 2.907305980649365665e+03 -6.888689942307202330e+00
1.250966669380882745e+00 2.515588020272204176e+03 -7.377543853608450775e+00
