R_p_ref T log_TiO
1.266555716050250080e+00 1.458022286860867553e+03 -7.326793463155367725e+00
1.241937397747628236e+00 2.522527197365676329e+03 -5.446763669459875779e+00
1.246882053650401501e+00 1.995584266256438468e+03 -6.043862098801694671e+00
1.250233790523912702e+00 2.539452183539704492e+03 -6.357734616544998829e+00
1.263230815331690238e+00 2.083644533492408300e+03 -8.128967335535710603e+00
1.254648610758928085e+00 1.549495044062854504e+03 -2.900895672975392969e+00
1.259550215116677752e+00 1.024804782677789490e+03 -3.054878252986794607e+00
1.272103058921538743e+00 1.148320438959481180e+03 -6.178591438123952173e+00
1.258147535796028116e+00 1.411645376977347496e+03 -5.730843607132745987e+00
1.257035242853532520e+00 1.785478374691098452e+03 -6.928541697508233455e+00
1.243522677529669940e+00 2.356781519672490049e+03 -6.502738905194407337e+00
1.243892976752011714e+00 1.880334135660195443e+03 -2.331515248375479743e+00
1.244144555532919361e+00 2.926469711236471085e+03 -6.552470788324038509e+00
1.263518791597448621e+00 1.319062421270680716e+03 -6.261587666399662133e+00
1.251371993725527210e+00 2.502346631573104787e+03 -6.486428248684612541e+00
1.257527149534647837e+00 1.805903082829075856e+03 -7.016427454402252906e+00
1.270447576994280237e+00 1.024707033936048902e+03 -5.843733436961562333e+00
1.254543157777482820e+00 1.804176931751307166e+03 -4.805635989688479270e+00
1.249784200095985121e+00 2.106770352178973553e+03 -6.733164385492431236e+00
1.245370103153255359e+00 1.910545335721197262e+03 -2.111891433330665535e+00
1.266146531826565891e+00 1.608613802964464639e+03 -7.293355864837836933e+00
1.268193254039094775e+00 1.401083305008298339e+03 -6.185243334515575953e+00
1.268671201296513784e+00 1.064430583066075769e+03 -5.774282935273268969e+00
1.270143734623838672e+00 1.220752077742027950e+03 -6.282864828013710934e+00
1.261255007860797361e+00 2.044129256652767708e+03 -6.913352741434959370e+00
1.264277715020208248e+00 1.187783100862009178e+03 -3.283286748145798128e+00
1.265988471314897668e+00 1.621249337361391554e+03 -7.265751471168215403e+00
1.265971397217856564e+00 1.499800265038264115e+03 -7.049841333281274380e+00
1.246863273901376967e+00 1.596921159565285052e+03 -2.813732401638766589e+00
1.262724066516425880e+00 1.595576558040819236e+03 -5.546078225725883826e+00
1.243492197437135127e+00 2.223968338627376397e+03 -4.937525731572257826e+00
1.266716123539094241e+00 1.459486560991920669e+03 -6.973539087201084286e+00
1.246757648331311863e+00 1.749753877981777578e+03 -4.740277983243758264e+00
1.245609684441449039e+00 1.902011065613720348e+03 -5.223245418666143003e+00
1.267206113863858397e+00 1.539085160113367237e+03 -6.863061087854813280e+00
1.236344817219943604e+00 2.727170107177018508e+03 -5.664456719220150482e+00
1.268193216985502580e+00 1.348520796449485260e+03 -6.666167247829005049e+00
1.266106523607892997e+00 1.661442555808822817e+03 -7.001954337735139866e+00
