R_p_ref T log_TiO
1.251978985996476279e+00 2.685471150357222541e+03 -7.634065953984616293e+00
1.247517310102433052e+00 2.184209131960489231e+03 -5.283135168536412074e+00
1.258184630111611524e+00 1.346575398820841201e+03 -5.164677458189474990e+00
1.245520183560548944e+00 1.887765914105780666e+03 -5.230270372959264336e+00
1.259808744537846081e+00 1.430260085761157143e+03 -5.780959009637856028e+00
1.239123633329096030e+00 2.306358533988459385e+03 -4.719515923459612239e+00
1.234122306454365603e+00 2.921211238520347251e+03 -6.379709774387371191e+00
1.267649493268236283e+00 1.055593530046134447e+03 -4.075369970143733589e+00
1.236381095528999774e+00 2.301560154903326293e+03 -4.618253497303121513e+00
1.242430717339198187e+00 2.877012851853610300e+03 -6.451254845685445716e+00
1.253020783327345011e+00 1.625755040362165346e+03 -5.512807824847088867e+00
1.242557006985316237e+00 1.685955999657453958e+03 -3.222688503351584188e+00
1.256503348096061234e+00 1.495841188925507367e+03 -3.452511637991356963e+00
1.238895385757495138e+00 2.595343264298985105e+03 -6.320050273995001966e+00
1.251126465525862708e+00 2.704778223194253769e+03 -7.645092387238160647e+00
1.239951442080728938e+00 2.231149842408192853e+03 -4.545794759435318078e+00
1.263572656171799702e+00 1.366319287055426230e+03 -5.872782708316426792e+00
1.251900368036627631e+00 2.522234277788337295e+03 -6.936533119664710867e+00
1.249901453359487657e+00 1.722728320162673754e+03 -5.348531891496340229e+00
1.264840629389621496e+00 1.136311852461521084e+03 -3.119647038827631391e+00
1.266406142417248804e+00 1.032739260933061587e+03 -4.663127635936821669e+00
1.262093404598338298e+00 1.093554153660860493e+03 -4.389156525518130181e+00
1.256124165879387355e+00 1.792554708662322582e+03 -5.272825303294803589e+00
1.259958431933825063e+00 1.330449778625978524e+03 -5.355673562883670691e+00
1.237737143311217203e+00 2.036498060540846836e+03 -3.388635772204946051e+00
1.245108028715849136e+00 1.705351591110229492e+03 -4.251135706901550293e+00
1.250646937919203783e+00 2.800536691060589874e+03 -7.670614767584088334e+00
1.241133122529417321e+00 2.054502243504112812e+03 -5.003053797672968983e+00
1.252546556434692704e+00 1.603926006466298077e+03 -5.314215209986777211e+00
1.252393254049811055e+00 2.597640748651855574e+03 -7.280818152994549486e+00
1.239417227067020288e+00 2.060524660553421654e+03 -4.619414858636027077e+00
1.239433763043189085e+00 2.030710577041108763e+03 -3.468503756095948631e+00
1.262382599016483420e+00 1.522802176196356413e+03 -6.195429486817118914e+00
1.242997710095636865e+00 2.693065136410475588e+03 -6.133009547234536285e+00
1.242797603251285077e+00 2.203031124625409575e+03 -4.761626104899910672e+00
1.231945196844452139e+00 2.971878506780898078e+03 -6.018960613195099896e+00
1.260382110438079017e+00 1.057981801050702416e+03 -2.285318274502035507e+00
1.243218049699192029e+00 1.688128755666040433e+03 -2.479491193915000835e+00
1.257678022392902273e+00 2.058902950076413617e+03 -6.869260408907372550e+00
1.246560795262385835e+00 2.333332149875461255e+03 -6.693287957783109476e+00
1.261896067176204950e+00 1.581183175476543056e+03 -6.289756512447241654e+00
1.259099645707596915e+00 1.716545169277166451e+03 -6.539553615060713199e+00
1.264013609894214518e+00 1.173698445561478820e+03 -3.203636263636770565e+00
1.234987997386678638e+00 2.555282271227436922e+03 -5.282051688856276961e+00
1.262221506959664952e+00 1.044354894270084969e+03 -4.009205481630942813e+00
1.238024789200441900e+00 2.228839021730374043e+03 -4.983351474442137885e+00
1.248347512150625116e+00 1.904587730928839392e+03 -5.746818524701467368e+00
1.249908169116533241e+00 2.059913512733826792e+03 -6.438931160553139854e+00
1.248451913850646466e+00 2.912100092390899590e+03 -7.315794380041666045e+00
1.263587631738516404e+00 1.188656739403066695e+03 -3.154049238072801131e+00
1.251736338146295147e+00 2.547069725245396967e+03 -6.999724579374364097e+00
1.259679929029844159e+00 1.712991466028159948e+03 -6.540193905854987833e+00
1.237802762865319206e+00 2.022739131073805311e+03 -3.072611934799008182e+00
1.237976913513674893e+00 2.154216932120480124e+03 -4.611332020873920357e+00
1.240319308031012424e+00 2.627591597971483225e+03 -6.564666201300977555e+00
1.250965279919760142e+00 1.693347501927943995e+03 -2.606724421411152903e+00
1.258830334508766580e+00 1.716771608140069020e+03 -5.591987197693291556e+00
1.249634700900640105e+00 2.028881519600081674e+03 -5.078799893778249697e+00
1.236998410048466335e+00 2.019456868553235381e+03 -2.818796779899580329e+00
1.264130281557813262e+00 1.336657767412234080e+03 -5.094755001631749991e+00
1.257626819990404599e+00 1.785605245179169515e+03 -5.614753496007391043e+00
1.251237895051710458e+00 2.611770646309780204e+03 -7.534203525975575744e+00
1.236361878144825788e+00 2.384251900144268348e+03 -4.902962158645172153e+00
1.255566037644223920e+00 1.723678513541147368e+03 -6.195352077548209380e+00
1.238008399801899362e+00 2.128538958757024375e+03 -4.083730459072627994e+00
1.252615800163523696e+00 2.556526648352678421e+03 -7.476757120056351624e+00
1.257344107533518551e+00 1.900846143940763795e+03 -6.804513996035839618e+00
1.255119465811191937e+00 1.521218941394398371e+03 -3.081306646885582978e+00
1.237864289034956489e+00 2.079744215357318353e+03 -3.978687650432922496e+00
1.256672140317070863e+00 2.091223211989306947e+03 -6.656421180288997874e+00
1.246833761713754152e+00 1.555169197628985785e+03 -3.709845294909593250e+00
1.242648811246807039e+00 1.949592825140225159e+03 -4.861615259148310386e+00
1.247441715850919453e+00 1.609987562346578216e+03 -4.251236257578373312e+00
1.250381067866401130e+00 1.836176714381211013e+03 -4.353041546455467703e+00
1.249964973553921332e+00 1.746241484404848052e+03 -3.667038740531074481e+00
1.247406163073514929e+00 1.577123163719379590e+03 -2.237292106074267650e+00
1.242668262510322252e+00 2.743626332744243427e+03 -6.223082831262123804e+00
1.247815789093170036e+00 2.121084111182951347e+03 -5.149739644760424895e+00
1.267210206187416421e+00 1.060625676419888805e+03 -4.059800496805123338e+00
1.247943145833922074e+00 2.049920215063292744e+03 -6.135436380553207059e+00
1.243832063572742452e+00 1.678660064280017195e+03 -2.420721242665928585e+00
1.243953854127286540e+00 2.266119537672027036e+03 -5.133331219293187253e+00
1.249539831083086527e+00 2.068550247848141225e+03 -5.222106578494998708e+00
1.244545076078176660e+00 1.684985995292663574e+03 -3.914795637130737305e+00
1.240036608161110943e+00 2.228872833753489431e+03 -5.411615750394706659e+00
1.236300433764760731e+00 2.635715914997826985e+03 -5.980387585840552411e+00
1.249540023326296989e+00 2.052738147166357521e+03 -5.162595122370055023e+00
1.257499457957590661e+00 1.315021523045024423e+03 -4.803857210320831683e+00
1.246380889937587000e+00 2.311893470626884664e+03 -6.605872838202934361e+00
1.237612158523466288e+00 2.208386795797214290e+03 -4.435794904226893820e+00
1.247625453991745514e+00 2.319303380066915906e+03 -5.759788179198838343e+00
1.237446710757037938e+00 2.220813230272635792e+03 -4.694251285184591893e+00
1.257404510630218297e+00 2.043828853724942292e+03 -6.916507996668095792e+00
1.247829892081590453e+00 1.540463661420984863e+03 -2.291402279045824386e+00
1.239262943360251334e+00 2.090379012738773781e+03 -3.959048728874648759e+00
1.242546539912177783e+00 2.706888746420862390e+03 -6.137338569799950072e+00
1.250449120804117520e+00 1.537644696157890849e+03 -4.539767345958320988e+00
1.264774110168772392e+00 1.273654098801415103e+03 -5.403000826732909267e+00
1.261701261917999695e+00 1.080579533299517834e+03 -4.140188551649968574e+00
1.235048909439610876e+00 2.365083328691175211e+03 -2.085108127527311339e+00
1.258442085482566641e+00 1.090649984095177388e+03 -2.525744368606082091e+00
1.262297617887083057e+00 1.249053833080902223e+03 -3.349431891892203694e+00
1.234603531243254393e+00 2.646686183686635104e+03 -5.523373769007212886e+00
1.253969630469496721e+00 1.614943110447688468e+03 -2.403359254771418207e+00
1.254163334241286787e+00 2.116011173293170941e+03 -6.985767020571280739e+00
1.243228292805109714e+00 1.657127634656904775e+03 -3.009492386000028219e+00
1.262434609926085249e+00 1.008944195080161307e+03 -2.252739590906180922e+00
1.252695993163715604e+00 1.523804963776603017e+03 -4.928547505228465297e+00
1.238854373208598592e+00 1.951621721942161457e+03 -3.652548299589826186e+00
1.240305450255502429e+00 2.277433409275234226e+03 -4.794816431544844271e+00
1.263973934979051528e+00 1.028620728596113622e+03 -4.208628578764427530e+00
1.234080978814355856e+00 2.804748680858699117e+03 -5.995639905634983613e+00
1.251743159057176147e+00 1.886971438303544346e+03 -4.878135201918208708e+00
1.261654123879344613e+00 1.293022978354074212e+03 -3.601162009432247402e+00
1.236003906784295170e+00 2.455254290066656722e+03 -5.192401068645560613e+00
1.238989463091791254e+00 2.185682090951504506e+03 -4.996791614642257962e+00
1.263853968085200341e+00 1.177223987771572183e+03 -3.311394826183020612e+00
1.263876650525285861e+00 1.354393105418693949e+03 -5.247423946926009108e+00
1.267021172824379427e+00 1.021188156161339975e+03 -3.216529331172434780e+00
1.240829818394252326e+00 2.440827718849166104e+03 -6.165462279711780624e+00
1.266305168797839276e+00 1.030823778573391564e+03 -4.476773481472207550e+00
1.252021276994280452e+00 2.586467320132631357e+03 -7.252503182201786913e+00
1.237497295268731534e+00 2.375924329709566337e+03 -5.372267918409555421e+00
1.236816530375499656e+00 2.341200365804540525e+03 -4.951854116618508606e+00
1.238306251597128593e+00 2.091245107304678641e+03 -4.230951087425734336e+00
1.263827823487783109e+00 1.327791721161307805e+03 -5.583154466015661122e+00
1.240018487257899427e+00 2.124956898532187552e+03 -4.211452298878037404e+00
1.237022735668961371e+00 2.908267089383235088e+03 -6.698071600969059070e+00
1.245868870034800180e+00 2.352105848352268822e+03 -6.619397053126299113e+00
1.237773021958180175e+00 1.985193111069401766e+03 -2.905634846926409054e+00
1.244980843701711803e+00 2.144643236358245304e+03 -4.865341826327765240e+00
1.238674859200879608e+00 2.014301030340390525e+03 -3.545495115021182642e+00
1.266211218570063801e+00 1.065343960500626736e+03 -3.326032206086326326e+00
1.245359218335838403e+00 1.589976129328252227e+03 -2.546801949234048124e+00
1.244859923580295291e+00 1.719393239989042286e+03 -2.194310827393122665e+00
1.252446397940399914e+00 1.299779686313844650e+03 -3.274987323456420185e+00
1.246689102420972972e+00 1.871173043591161331e+03 -3.836611008005903045e+00
1.257066201110427661e+00 2.059535564112987231e+03 -6.800879687054214529e+00
1.262449187726385702e+00 1.061591642578419396e+03 -2.087790990967281601e+00
1.237948651652247101e+00 1.998434771342846943e+03 -2.917064282903401917e+00
1.236969568242697104e+00 2.595335496857601811e+03 -5.955141347239891303e+00
1.246972244409205066e+00 2.495129625052034498e+03 -6.172106029444564435e+00
1.238144639418253368e+00 2.771595180895393696e+03 -5.884254236731779386e+00
1.255538387209350626e+00 1.338237746991588665e+03 -4.486954500692939440e+00
1.254853800757723237e+00 1.544075299574381233e+03 -2.575823508455016508e+00
1.252886318862165060e+00 1.405493370118154644e+03 -2.111536443447493028e+00
1.237298271889682999e+00 2.288051238663302684e+03 -4.807163843423645666e+00
1.238188036309696649e+00 2.533050292813743908e+03 -5.361563128517538246e+00
1.265503022545446887e+00 1.100618331897404460e+03 -3.366491131793333480e+00
1.241364275431437125e+00 2.797027910279206480e+03 -6.990402739166132307e+00
1.239285403582840006e+00 2.701409241656953782e+03 -6.555691667861621497e+00
1.246782711118085807e+00 1.644452065563523092e+03 -4.234882985459072380e+00
1.250248841410853240e+00 2.750540969284642415e+03 -7.337902835123855994e+00
1.267051656639814006e+00 1.051666956565872852e+03 -4.123852497718625720e+00
1.251010273942783080e+00 1.377918884437739734e+03 -3.541557182820170624e+00
1.237425357605094867e+00 2.526157261371639834e+03 -5.832663238459568689e+00
1.250360103083349328e+00 1.606664404547613231e+03 -4.849840831483710701e+00
1.254105232793620184e+00 2.216530953416391185e+03 -7.111578948902693931e+00
1.264208608130015676e+00 1.170673714627545451e+03 -5.010380911038139651e+00
1.236496711580822749e+00 2.176107742144327858e+03 -2.342486023799974504e+00
1.249496006405584891e+00 1.721727477818677926e+03 -2.731970732402084323e+00
1.265590634963306371e+00 1.096308586467727537e+03 -3.403855135225546391e+00
1.242563501944624393e+00 2.055011802322614130e+03 -4.201569067300232163e+00
1.237473483164418964e+00 2.009466644769628147e+03 -2.615717833631713063e+00
1.259623045067511882e+00 1.417983664099748466e+03 -4.058967462831970963e+00
1.236647002263415729e+00 2.517493521836564469e+03 -5.635979325587994637e+00
1.258717484996596969e+00 1.767196251354304877e+03 -6.518658573853423732e+00
1.255739800432677633e+00 2.077082297072560323e+03 -6.433653991378506021e+00
1.240600242180858626e+00 2.230374670636066639e+03 -4.695435516948125887e+00
1.238631499748356513e+00 2.042692583799240083e+03 -2.205455983262483599e+00
1.257339471291693656e+00 1.956284870894191044e+03 -6.793964021187814062e+00
1.237649418715984551e+00 2.191124603499794830e+03 -2.074506062876274370e+00
1.242958910316363186e+00 1.686073014384572161e+03 -2.676582633386988874e+00
1.263554474729398969e+00 1.217236872490080486e+03 -2.278334385267918094e+00
1.242528988484811414e+00 1.734947032775551634e+03 -3.495579633380424767e+00
1.253405405644184789e+00 2.423936988268880668e+03 -7.158417662108281121e+00
1.245652237759822478e+00 2.804563374727321843e+03 -6.727679426477690683e+00
1.243640514498977945e+00 2.407277664944163917e+03 -6.454092208637462136e+00
1.261513876354986019e+00 1.433287419203672016e+03 -5.805118885926621175e+00
1.242575912771881175e+00 1.795996590680703775e+03 -3.968190463082553521e+00
1.243359632952384386e+00 2.193785154954989139e+03 -4.859286775029945105e+00
1.256296321173044905e+00 1.548826026031285892e+03 -5.630314708534458923e+00
1.264909655501762931e+00 1.207120047148602907e+03 -4.494743707813925404e+00
1.248689860414119002e+00 1.687750979926084710e+03 -4.886643823559531086e+00
1.245460956492728144e+00 2.147176193049526773e+03 -6.021236188648006582e+00
1.240028625732575440e+00 2.656487072185928810e+03 -5.806883795435003215e+00
1.247574502625744541e+00 2.793417155200769230e+03 -7.511867353729105190e+00
1.248014055426630797e+00 2.153440616479217169e+03 -5.328754633558116183e+00
1.237468237318173792e+00 2.111578995863510499e+03 -2.219242582671608233e+00
1.244219132547417450e+00 1.681425590173075761e+03 -3.706921486100911878e+00
1.240160263208184954e+00 2.386697115614233553e+03 -5.147249437580967424e+00
1.264844467510125803e+00 1.175301910743281269e+03 -2.162790078397947013e+00
1.250221600503974129e+00 2.658224623097276890e+03 -7.088022786104956730e+00
1.265524735811548451e+00 1.163094169488442958e+03 -4.430303144771728263e+00
1.237215922603476237e+00 2.343301184739568271e+03 -5.028096042567667290e+00
1.240700056202947321e+00 1.909807610171096940e+03 -4.042473593294323209e+00
1.239095046154667257e+00 2.888048174796079365e+03 -6.212077381589171665e+00
1.253864854013243102e+00 2.233067741099628620e+03 -6.566713213572842989e+00
1.241630704415005226e+00 2.803974092858626136e+03 -7.016310780513431489e+00
1.250746629605312688e+00 1.354448202582372915e+03 -2.999205705481674755e+00
1.236218105683559054e+00 2.498834831871643473e+03 -5.322059219219058335e+00
1.238209422741083587e+00 2.271989794009195066e+03 -5.077038987366435663e+00
1.239060640958309367e+00 2.030141479104145446e+03 -4.081252784474092010e+00
1.251603962843530260e+00 2.141140536817021712e+03 -6.767591995061779997e+00
1.251423856362960496e+00 1.802455565341096190e+03 -4.442039096681445365e+00
1.234510624945070356e+00 2.760412769541513626e+03 -5.862972772202345695e+00
